"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2466","should display main components of the page","","Thu May 01 01:14:07 EEST 2025","passed","Thu May 01 01:14:10 EEST 2025","","Telnyx Network Page","",""
"","780","should open correct url","","Thu May 01 01:14:06 EEST 2025","passed","Thu May 01 01:14:07 EEST 2025","","Telnyx Customers Stories Page","",""
"","446","should have correct links to sign up and contact us","","Thu May 01 01:14:10 EEST 2025","passed","Thu May 01 01:14:10 EEST 2025","","Telnyx Network Page","",""
"","466","should have correct links in glider","","Thu May 01 01:14:11 EEST 2025","passed","Thu May 01 01:14:11 EEST 2025","","Telnyx Network Page","",""
"","2586","should display main components of the page","","Thu May 01 01:14:07 EEST 2025","passed","Thu May 01 01:14:10 EEST 2025","","Telnyx Customers Stories Page","",""
"","285","should have correct stats section","","Thu May 01 01:14:13 EEST 2025","passed","Thu May 01 01:14:13 EEST 2025","","Telnyx Customers Stories Page","",""
"","427","should have correct FAQ section","","Thu May 01 01:14:11 EEST 2025","passed","Thu May 01 01:14:12 EEST 2025","","Telnyx Network Page","",""
"","445","should have correct links to sign up and contact us","","Thu May 01 01:14:12 EEST 2025","passed","Thu May 01 01:14:13 EEST 2025","","Telnyx Customers Stories Page","",""
"","1316","should have correct social links in footer","","Thu May 01 01:14:13 EEST 2025","passed","Thu May 01 01:14:14 EEST 2025","","Telnyx Home Page","",""
"","991","should have correct stories descriptions","","Thu May 01 01:14:11 EEST 2025","passed","Thu May 01 01:14:12 EEST 2025","","Telnyx Customers Stories Page","",""
"","1376","should have correct stories titles","","Thu May 01 01:14:10 EEST 2025","passed","Thu May 01 01:14:11 EEST 2025","","Telnyx Customers Stories Page","",""
"","472","should have correct number of glider links","","Thu May 01 01:14:10 EEST 2025","passed","Thu May 01 01:14:11 EEST 2025","","Telnyx Network Page","",""
"","243","should have correct number of stories","","Thu May 01 01:14:10 EEST 2025","passed","Thu May 01 01:14:10 EEST 2025","","Telnyx Customers Stories Page","",""
"","1293","should have correct links in resources tab","","Thu May 01 01:14:15 EEST 2025","passed","Thu May 01 01:14:16 EEST 2025","","Telnyx Home Page","",""
"","3096","should open correct url","","Thu May 01 01:14:06 EEST 2025","passed","Thu May 01 01:14:09 EEST 2025","","Telnyx Home Page","",""
"","401","glider track with Products, Solutions and Stories should be visible ","","Thu May 01 01:14:10 EEST 2025","passed","Thu May 01 01:14:10 EEST 2025","","Telnyx Network Page","",""
"","400","should have correct FAQ title","","Thu May 01 01:14:12 EEST 2025","passed","Thu May 01 01:14:12 EEST 2025","","Telnyx Network Page","",""
"","3242","should display main components of the page","","Thu May 01 01:14:09 EEST 2025","passed","Thu May 01 01:14:13 EEST 2025","","Telnyx Home Page","",""
"","1088","should have correct links  to sign up, login and contact us","","Thu May 01 01:14:14 EEST 2025","passed","Thu May 01 01:14:15 EEST 2025","","Telnyx Home Page","",""
"","787","should open correct url","","Thu May 01 01:14:06 EEST 2025","passed","Thu May 01 01:14:07 EEST 2025","","Telnyx Network Page","",""
