"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1659","should open correct url","","Wed May 14 15:29:00 UTC 2025","passed","Wed May 14 15:29:02 UTC 2025","","Telnyx Home Page","",""
"","1620","should display main components of the page","","Wed May 14 15:29:10 UTC 2025","passed","Wed May 14 15:29:12 UTC 2025","","Telnyx Network Page","",""
"","376","should have correct number of glider links","","Wed May 14 15:29:14 UTC 2025","passed","Wed May 14 15:29:14 UTC 2025","","Telnyx Network Page","",""
"","1616","should have correct stories descriptions","","Wed May 14 15:29:51 UTC 2025","passed","Wed May 14 15:29:53 UTC 2025","","Telnyx Customers Stories Page","",""
"","1336","should have correct stories titles","","Wed May 14 15:29:50 UTC 2025","passed","Wed May 14 15:29:51 UTC 2025","","Telnyx Customers Stories Page","",""
"","1113","should have correct links  to sign up, login and contact us","","Wed May 14 15:29:04 UTC 2025","passed","Wed May 14 15:29:06 UTC 2025","","Telnyx Home Page","",""
"","696","should have correct FAQ section","","Wed May 14 15:29:15 UTC 2025","passed","Wed May 14 15:29:16 UTC 2025","","Telnyx Network Page","",""
"","1235","should have correct links to sign up and contact us","","Wed May 14 15:29:12 UTC 2025","passed","Wed May 14 15:29:13 UTC 2025","","Telnyx Network Page","",""
"","16379","should give error messages when trying to submit invalid data","","Wed May 14 15:29:28 UTC 2025","failed","Wed May 14 15:29:44 UTC 2025","","Telnyx Signup Page","",""
"","1544","should open correct url","","Wed May 14 15:29:18 UTC 2025","passed","Wed May 14 15:29:20 UTC 2025","","Telnyx Signup Page","",""
"","1133","should open correct url","","Wed May 14 15:29:09 UTC 2025","passed","Wed May 14 15:29:10 UTC 2025","","Telnyx Network Page","",""
"","1016","should have correct links in glider","","Wed May 14 15:29:14 UTC 2025","passed","Wed May 14 15:29:15 UTC 2025","","Telnyx Network Page","",""
"","1364","should display main components of the page","","Wed May 14 15:29:48 UTC 2025","passed","Wed May 14 15:29:49 UTC 2025","","Telnyx Customers Stories Page","",""
"","497","should have correct number of stories","","Wed May 14 15:29:49 UTC 2025","passed","Wed May 14 15:29:50 UTC 2025","","Telnyx Customers Stories Page","",""
"","1809","should open correct url","","Wed May 14 15:29:46 UTC 2025","passed","Wed May 14 15:29:48 UTC 2025","","Telnyx Customers Stories Page","",""
"","1566","should display main components of the page","","Wed May 14 15:29:02 UTC 2025","passed","Wed May 14 15:29:03 UTC 2025","","Telnyx Home Page","",""
"","1180","should have correct social links in footer","","Wed May 14 15:29:03 UTC 2025","passed","Wed May 14 15:29:04 UTC 2025","","Telnyx Home Page","",""
"","889","should have correct links to sign up and contact us","","Wed May 14 15:29:53 UTC 2025","passed","Wed May 14 15:29:54 UTC 2025","","Telnyx Customers Stories Page","",""
"","578","should have correct FAQ title","","Wed May 14 15:29:16 UTC 2025","passed","Wed May 14 15:29:16 UTC 2025","","Telnyx Network Page","",""
"","2254","should display main components of the page","","Wed May 14 15:29:20 UTC 2025","passed","Wed May 14 15:29:22 UTC 2025","","Telnyx Signup Page","",""
"","669","glider track with Products, Solutions and Stories should be visible ","","Wed May 14 15:29:13 UTC 2025","passed","Wed May 14 15:29:14 UTC 2025","","Telnyx Network Page","",""
"","1753","should have correct links in resources tab","","Wed May 14 15:29:06 UTC 2025","passed","Wed May 14 15:29:07 UTC 2025","","Telnyx Home Page","",""
"","6109","should give all error messages when trying to submit no data","","Wed May 14 15:29:22 UTC 2025","passed","Wed May 14 15:29:28 UTC 2025","","Telnyx Signup Page","",""
"","705","should have correct stats section","","Wed May 14 15:29:54 UTC 2025","passed","Wed May 14 15:29:54 UTC 2025","","Telnyx Customers Stories Page","",""
